日期,开盘价(元),最高价(元),最低价(元),收盘价(元),成交额(百万),成交量(股)
2007-08-03,2.4268,2.4268,2.4268,2.4268,0,0
2007-08-10,2.4748,2.4748,2.4748,2.4748,0,0
2007-08-13,2.4748,2.4748,2.4748,2.4748,0,0
2007-08-14,2.4748,2.4748,2.4748,2.4748,0,0
2007-08-15,2.4953,2.4953,2.4953,2.4953,0,0
2007-08-16,2.4502,2.4502,2.4502,2.4502,0,0
2007-08-17,2.4157,2.4157,2.4157,2.4157,0,0
2007-08-20,2.5363,2.5363,2.5363,2.5363,0,0
2007-08-21,2.5404,2.5404,2.5404,2.5404,0,0
2007-08-22,2.5465,2.5465,2.5465,2.5465,0,0
2007-08-23,2.5559,2.5559,2.5559,2.5559,0,0
2007-08-24,2.5696,2.5696,2.5696,2.5696,0,0
2007-08-27,2.5746,2.5746,2.5746,2.5746,0,0
2007-08-28,2.5812,2.5812,2.5812,2.5812,0,0
2007-08-29,2.5493,2.5493,2.5493,2.5493,0,0
2007-08-30,2.5602,2.5602,2.5602,2.5602,0,0
2007-08-31,2.5921,2.5921,2.5921,2.5921,0,0
2007-09-03,2.636,2.636,2.636,2.636,0,0
2007-09-04,2.6185,2.6185,2.6185,2.6185,0,0
2007-09-05,2.617,2.617,2.617,2.617,0,0
2007-09-06,2.6246,2.6246,2.6246,2.6246,0,0
2007-09-07,2.5784,2.5784,2.5784,2.5784,0,0
2007-09-10,2.5929,2.5929,2.5929,2.5929,0,0
2007-09-11,2.5079,2.5079,2.5079,2.5079,0,0
2007-09-12,2.5434,2.5434,2.5434,2.5434,0,0
2007-09-13,2.6104,2.6104,2.6104,2.6104,0,0
2007-09-14,2.6416,2.6416,2.6416,2.6416,0,0
2007-09-17,2.6642,2.6642,2.6642,2.6642,0,0
2007-09-18,2.6512,2.6512,2.6512,2.6512,0,0
2007-09-19,2.6515,2.6515,2.6515,2.6515,0,0
2007-09-20,2.669,2.669,2.669,2.669,0,0
2007-09-21,2.6682,2.6682,2.6682,2.6682,0,0
2007-09-24,2.6832,2.6832,2.6832,2.6832,0,0
2007-09-25,2.6667,2.6667,2.6667,2.6667,0,0
2007-09-26,2.6408,2.6408,2.6408,2.6408,0,0
2007-09-27,2.6702,2.6702,2.6702,2.6702,0,0
2007-09-28,2.7151,2.7151,2.7151,2.7151,0,0
2007-09-30,2.7151,2.7151,2.7151,2.7151,0,0
2007-10-08,2.7372,2.7372,2.7372,2.7372,0,0
2007-10-09,2.7649,2.7649,2.7649,2.7649,0,0
2007-10-10,2.774,2.774,2.774,2.774,0,0
2007-10-11,2.8128,2.8128,2.8128,2.8128,0,0
2007-10-12,2.8298,2.8298,2.8298,2.8298,0,0
2007-10-15,2.8331,2.8331,2.8331,2.8331,0,0
2007-10-16,2.8582,2.8582,2.8582,2.8582,0,0
2007-10-17,2.8341,2.8341,2.8341,2.8341,0,0
2007-10-18,2.7684,2.7684,2.7684,2.7684,0,0
2007-10-19,2.7854,2.7854,2.7854,2.7854,0,0
2007-10-22,2.7453,2.7453,2.7453,2.7453,0,0
2007-10-23,2.7654,2.7654,2.7654,2.7654,0,0
2007-10-24,2.7943,2.7943,2.7943,2.7943,0,0
2007-10-25,2.7342,2.7342,2.7342,2.7342,0,0
2007-10-26,2.7423,2.7423,2.7423,2.7423,0,0
2007-10-29,2.772,2.772,2.772,2.772,0,0
2007-10-30,2.8009,2.8009,2.8009,2.8009,0,0
2007-10-31,2.8189,2.8189,2.8189,2.8189,0,0
2007-11-01,2.7862,2.7862,2.7862,2.7862,0,0
2007-11-02,2.7364,2.7364,2.7364,2.7364,0,0
2007-11-05,2.7202,2.7202,2.7202,2.7202,0,0
2007-11-06,2.6984,2.6984,2.6984,2.6984,0,0
2007-11-07,2.7233,2.7233,2.7233,2.7233,0,0
2007-11-08,2.6449,2.6449,2.6449,2.6449,0,0
2007-11-09,2.6241,2.6241,2.6241,2.6241,0,0
2007-11-12,2.6086,2.6086,2.6086,2.6086,0,0
2007-11-13,2.5802,2.5802,2.5802,2.5802,0,0
2007-11-14,2.6593,2.6593,2.6593,2.6593,0,0
2007-11-15,2.634,2.634,2.634,2.634,0,0
2007-11-16,2.5959,2.5959,2.5959,2.5959,0,0
2007-11-19,2.5734,2.5734,2.5734,2.5734,0,0
2007-11-20,2.5969,2.5969,2.5969,2.5969,0,0
2007-11-21,2.5802,2.5802,2.5802,2.5802,0,0
2007-11-22,2.4963,2.4963,2.4963,2.4963,0,0
2007-11-23,2.5198,2.5198,2.5198,2.5198,0,0
2007-11-26,2.5031,2.5031,2.5031,2.5031,0,0
2007-11-27,2.4648,2.4648,2.4648,2.4648,0,0
2007-11-28,2.4488,2.4488,2.4488,2.4488,0,0
2007-11-29,2.5165,2.5165,2.5165,2.5165,0,0
2007-11-30,2.4815,2.4815,2.4815,2.4815,0,0
2007-12-03,2.5001,2.5001,2.5001,2.5001,0,0
2007-12-04,2.5252,2.5252,2.5252,2.5252,0,0
2007-12-05,2.5726,2.5726,2.5726,2.5726,0,0
2007-12-06,2.5746,2.5746,2.5746,2.5746,0,0
2007-12-07,2.5921,2.5921,2.5921,2.5921,0,0
2007-12-10,2.6195,2.6195,2.6195,2.6195,0,0
2007-12-11,2.6139,2.6139,2.6139,2.6139,0,0
2007-12-12,2.5713,2.5713,2.5713,2.5713,0,0
2007-12-13,2.4881,2.4881,2.4881,2.4881,0,0
2007-12-14,2.5196,2.5196,2.5196,2.5196,0,0
2007-12-17,2.4554,2.4554,2.4554,2.4554,0,0
2007-12-18,2.4552,2.4552,2.4552,2.4552,0,0
2007-12-19,2.4978,2.4978,2.4978,2.4978,0,0
2007-12-20,2.5399,2.5399,2.5399,2.5399,0,0
2007-12-21,2.5569,2.5569,2.5569,2.5569,0,0
2007-12-24,2.6041,2.6041,2.6041,2.6041,0,0
2007-12-25,2.6018,2.6018,2.6018,2.6018,0,0
2007-12-26,2.616,2.616,2.616,2.616,0,0
2007-12-27,2.6675,2.6675,2.6675,2.6675,0,0
2007-12-28,2.6614,2.6614,2.6614,2.6614,0,0
2007-12-29,2.6614,2.6614,2.6614,2.6614,0,0
2007-12-31,2.6611,2.6611,2.6611,2.6611,0,0
2008-01-02,2.6652,2.6652,2.6652,2.6652,0,0
2008-01-03,2.6563,2.6563,2.6563,2.6563,0,0
2008-01-04,2.689,2.689,2.689,2.689,0,0
2008-01-07,2.7233,2.7233,2.7233,2.7233,0,0
2008-01-08,2.7258,2.7258,2.7258,2.7258,0,0
2008-01-09,2.7618,2.7618,2.7618,2.7618,0,0
2008-01-10,2.7971,2.7971,2.7971,2.7971,0,0
2008-01-11,2.8196,2.8196,2.8196,2.8196,0,0
2008-01-14,2.8232,2.8232,2.8232,2.8232,0,0
2008-01-15,2.8004,2.8004,2.8004,2.8004,0,0
2008-01-16,2.706,2.706,2.706,2.706,0,0
2008-01-17,2.6543,2.6543,2.6543,2.6543,0,0
2008-01-18,2.668,2.668,2.668,2.668,0,0
2008-01-21,2.5627,2.5627,2.5627,2.5627,0,0
2008-01-22,2.4143,2.4143,2.4143,2.4143,0,0
2008-01-23,2.5112,2.5112,2.5112,2.5112,0,0
2008-01-24,2.5409,2.5409,2.5409,2.5409,0,0
2008-01-25,2.5762,2.5762,2.5762,2.5762,0,0
2008-01-28,2.4592,2.4592,2.4592,2.4592,0,0
2008-01-29,2.4597,2.4597,2.4597,2.4597,0,0
2008-01-30,2.4402,2.4402,2.4402,2.4402,0,0
2008-01-31,2.4019,2.4019,2.4019,2.4019,0,0
2008-02-01,2.3953,2.3953,2.3953,2.3953,0,0
2008-02-04,2.5493,2.5493,2.5493,2.5493,0,0
2008-02-05,2.5247,2.5247,2.5247,2.5247,0,0
2008-02-13,2.476,2.476,2.476,2.476,0,0
2008-02-14,2.5003,2.5003,2.5003,2.5003,0,0
2008-02-15,2.4701,2.4701,2.4701,2.4701,0,0
2008-02-18,2.5138,2.5138,2.5138,2.5138,0,0
2008-02-19,2.5505,2.5505,2.5505,2.5505,0,0
