日期,开盘价(元),最高价(元),最低价(元),收盘价(元),成交额(百万),成交量(股)
2008-04-30,1,1,1,1,0,0
2008-05-05,1.002,1.002,1.002,1.002,0,0
2008-05-12,0.992,0.992,0.992,0.992,0,0
2008-05-19,0.994,0.994,0.994,0.994,0,0
2008-05-26,0.96,0.96,0.96,0.96,0,0
2008-05-27,0.962,0.962,0.962,0.962,0,0
2008-05-28,0.971,0.971,0.971,0.971,0,0
2008-05-29,0.962,0.962,0.962,0.962,0,0
2008-05-30,0.965,0.965,0.965,0.965,0,0
2008-06-02,0.965,0.965,0.965,0.965,0,0
2008-06-03,0.965,0.965,0.965,0.965,0,0
2008-06-04,0.959,0.959,0.959,0.959,0,0
2008-06-05,0.957,0.957,0.957,0.957,0,0
2008-06-06,0.957,0.957,0.957,0.957,0,0
2008-06-10,0.931,0.931,0.931,0.931,0,0
2008-06-11,0.922,0.922,0.922,0.922,0,0
2008-06-12,0.915,0.915,0.915,0.915,0,0
2008-06-13,0.912,0.912,0.912,0.912,0,0
2008-06-16,0.913,0.913,0.913,0.913,0,0
2008-06-17,0.901,0.901,0.901,0.901,0,0
2008-06-18,0.913,0.913,0.913,0.913,0,0
2008-06-19,0.892,0.892,0.892,0.892,0,0
2008-06-20,0.899,0.899,0.899,0.899,0,0
2008-06-23,0.893,0.893,0.893,0.893,0,0
2008-06-24,0.898,0.898,0.898,0.898,0,0
2008-06-25,0.908,0.908,0.908,0.908,0,0
2008-06-26,0.91,0.91,0.91,0.91,0,0
2008-06-27,0.899,0.899,0.899,0.899,0,0
2008-06-30,0.895,0.895,0.895,0.895,0,0
2008-07-01,0.884,0.884,0.884,0.884,0,0
2008-07-02,0.884,0.884,0.884,0.884,0,0
2008-07-03,0.889,0.889,0.889,0.889,0,0
2008-07-04,0.889,0.889,0.889,0.889,0,0
2008-07-07,0.903,0.903,0.903,0.903,0,0
2008-07-08,0.906,0.906,0.906,0.906,0,0
2008-07-09,0.916,0.916,0.916,0.916,0,0
2008-07-10,0.913,0.913,0.913,0.913,0,0
2008-07-11,0.91,0.91,0.91,0.91,0,0
2008-07-14,0.912,0.912,0.912,0.912,0,0
2008-07-15,0.902,0.902,0.902,0.902,0,0
2008-07-16,0.892,0.892,0.892,0.892,0,0
2008-07-17,0.889,0.889,0.889,0.889,0,0
2008-07-18,0.897,0.897,0.897,0.897,0,0
2008-07-21,0.909,0.909,0.909,0.909,0,0
2008-07-22,0.909,0.909,0.909,0.909,0,0
2008-07-23,0.907,0.907,0.907,0.907,0,0
2008-07-24,0.916,0.916,0.916,0.916,0,0
2008-07-25,0.914,0.914,0.914,0.914,0,0
2008-07-28,0.916,0.916,0.916,0.916,0,0
2008-07-29,0.913,0.913,0.913,0.913,0,0
2008-07-30,0.909,0.909,0.909,0.909,0,0
2008-07-31,0.901,0.901,0.901,0.901,0,0
2008-08-01,0.904,0.904,0.904,0.904,0,0
2008-08-04,0.898,0.898,0.898,0.898,0,0
2008-08-05,0.892,0.892,0.892,0.892,0,0
2008-08-06,0.895,0.895,0.895,0.895,0,0
2008-08-07,0.895,0.895,0.895,0.895,0,0
2008-08-08,0.884,0.884,0.884,0.884,0,0
2008-08-11,0.871,0.871,0.871,0.871,0,0
2008-08-12,0.874,0.874,0.874,0.874,0,0
2008-08-13,0.872,0.872,0.872,0.872,0,0
2008-08-14,0.873,0.873,0.873,0.873,0,0
2008-08-15,0.875,0.875,0.875,0.875,0,0
2008-08-18,0.859,0.859,0.859,0.859,0,0
2008-08-19,0.864,0.864,0.864,0.864,0,0
2008-08-20,0.892,0.892,0.892,0.892,0,0
2008-08-21,0.877,0.877,0.877,0.877,0,0
2008-08-22,0.873,0.873,0.873,0.873,0,0
2008-08-25,0.874,0.874,0.874,0.874,0,0
2008-08-26,0.865,0.865,0.865,0.865,0,0
2008-08-27,0.862,0.862,0.862,0.862,0,0
2008-08-28,0.863,0.863,0.863,0.863,0,0
2008-08-29,0.872,0.872,0.872,0.872,0,0
2008-09-01,0.859,0.859,0.859,0.859,0,0
2008-09-02,0.853,0.853,0.853,0.853,0,0
2008-09-03,0.842,0.842,0.842,0.842,0,0
2008-09-04,0.84,0.84,0.84,0.84,0,0
2008-09-05,0.829,0.829,0.829,0.829,0,0
2008-09-08,0.818,0.818,0.818,0.818,0,0
2008-09-09,0.817,0.817,0.817,0.817,0,0
2008-09-10,0.816,0.816,0.816,0.816,0,0
2008-09-11,0.802,0.802,0.802,0.802,0,0
2008-09-12,0.8,0.8,0.8,0.8,0,0
2008-09-16,0.787,0.787,0.787,0.787,0,0
2008-09-17,0.772,0.772,0.772,0.772,0,0
2008-09-18,0.77,0.77,0.77,0.77,0,0
2008-09-19,0.814,0.814,0.814,0.814,0,0
2008-09-22,0.842,0.842,0.842,0.842,0,0
2008-09-23,0.814,0.814,0.814,0.814,0,0
2008-09-24,0.813,0.813,0.813,0.813,0,0
2008-09-25,0.832,0.832,0.832,0.832,0,0
2008-09-26,0.838,0.838,0.838,0.838,0,0
2008-09-30,0.838,0.838,0.838,0.838,0,0
2008-10-06,0.809,0.809,0.809,0.809,0,0
2008-10-07,0.8,0.8,0.8,0.8,0,0
2008-10-08,0.78,0.78,0.78,0.78,0,0
2008-10-09,0.775,0.775,0.775,0.775,0,0
2008-10-10,0.755,0.755,0.755,0.755,0,0
2008-10-13,0.775,0.775,0.775,0.775,0,0
2008-10-14,0.765,0.765,0.765,0.765,0,0
2008-10-15,0.76,0.76,0.76,0.76,0,0
2008-10-16,0.735,0.735,0.735,0.735,0,0
2008-10-17,0.736,0.736,0.736,0.736,0,0
2008-10-20,0.75,0.75,0.75,0.75,0,0
2008-10-21,0.749,0.749,0.749,0.749,0,0
2008-10-22,0.745,0.745,0.745,0.745,0,0
2008-10-23,0.743,0.743,0.743,0.743,0,0
2008-10-24,0.731,0.731,0.731,0.731,0,0
2008-10-27,0.699,0.699,0.699,0.699,0,0
2008-10-28,0.714,0.714,0.714,0.714,0,0
2008-10-29,0.705,0.705,0.705,0.705,0,0
2008-10-30,0.716,0.716,0.716,0.716,0,0
2008-10-31,0.703,0.703,0.703,0.703,0,0
2008-11-03,0.699,0.699,0.699,0.699,0,0
2008-11-04,0.697,0.697,0.697,0.697,0,0
2008-11-05,0.716,0.716,0.716,0.716,0,0
2008-11-06,0.705,0.705,0.705,0.705,0,0
2008-11-07,0.711,0.711,0.711,0.711,0,0
2008-11-10,0.747,0.747,0.747,0.747,0,0
2008-11-11,0.739,0.739,0.739,0.739,0,0
2008-11-12,0.745,0.745,0.745,0.745,0,0
2008-11-13,0.767,0.767,0.767,0.767,0,0
2008-11-14,0.791,0.791,0.791,0.791,0,0
2008-11-17,0.801,0.801,0.801,0.801,0,0
2008-11-18,0.759,0.759,0.759,0.759,0,0
2008-11-19,0.789,0.789,0.789,0.789,0,0
2008-11-20,0.781,0.781,0.781,0.781,0,0
2008-11-21,0.772,0.772,0.772,0.772,0,0
2008-11-24,0.755,0.755,0.755,0.755,0,0
2008-11-25,0.75,0.75,0.75,0.75,0,0
2008-11-26,0.748,0.748,0.748,0.748,0,0
2008-11-27,0.751,0.751,0.751,0.751,0,0
2008-11-28,0.74,0.74,0.74,0.74,0,0
2008-12-01,0.754,0.754,0.754,0.754,0,0
2008-12-02,0.762,0.762,0.762,0.762,0,0
2008-12-03,0.791,0.791,0.791,0.791,0,0
2008-12-04,0.797,0.797,0.797,0.797,0,0
2008-12-05,0.807,0.807,0.807,0.807,0,0
2008-12-08,0.831,0.831,0.831,0.831,0,0
2008-12-09,0.814,0.814,0.814,0.814,0,0
2008-12-10,0.831,0.831,0.831,0.831,0,0
2008-12-11,0.818,0.818,0.818,0.818,0,0
2008-12-12,0.791,0.791,0.791,0.791,0,0
2008-12-15,0.794,0.794,0.794,0.794,0,0
2008-12-16,0.801,0.801,0.801,0.801,0,0
2008-12-17,0.804,0.804,0.804,0.804,0,0
2008-12-18,0.817,0.817,0.817,0.817,0,0
2008-12-19,0.824,0.824,0.824,0.824,0,0
2008-12-22,0.82,0.82,0.82,0.82,0,0
2008-12-23,0.795,0.795,0.795,0.795,0,0
2008-12-24,0.787,0.787,0.787,0.787,0,0
2008-12-25,0.785,0.785,0.785,0.785,0,0
2008-12-26,0.785,0.785,0.785,0.785,0,0
2008-12-29,0.783,0.783,0.783,0.783,0,0
2008-12-30,0.779,0.779,0.779,0.779,0,0
2008-12-31,0.778,0.778,0.778,0.778,0,0
2009-01-05,0.794,0.794,0.794,0.794,0,0
2009-01-06,0.811,0.811,0.811,0.811,0,0
2009-01-07,0.81,0.81,0.81,0.81,0,0
2009-01-08,0.801,0.801,0.801,0.801,0,0
2009-01-09,0.814,0.814,0.814,0.814,0,0
2009-01-12,0.819,0.819,0.819,0.819,0,0
2009-01-13,0.807,0.807,0.807,0.807,0,0
2009-01-14,0.833,0.833,0.833,0.833,0,0
2009-01-15,0.835,0.835,0.835,0.835,0,0
2009-01-16,0.839,0.839,0.839,0.839,0,0
