日期,开盘价(元),最高价(元),最低价(元),收盘价(元),成交额(百万),成交量(股)
2006-06-28,1,1,1,1,0,0
2006-06-30,1,1,1,1,0,0
2006-07-07,1,1,1,1,0,0
2006-07-14,0.993,0.993,0.993,0.993,0,0
2006-07-21,0.992,0.992,0.992,0.992,0,0
2006-07-28,0.99,0.99,0.99,0.99,0,0
2006-08-03,0.988,0.988,0.988,0.988,0,0
2006-08-04,0.985,0.985,0.985,0.985,0,0
2006-08-07,0.985,0.985,0.985,0.985,0,0
2006-08-08,0.988,0.988,0.988,0.988,0,0
2006-08-09,0.987,0.987,0.987,0.987,0,0
2006-08-10,0.99,0.99,0.99,0.99,0,0
2006-08-11,0.991,0.991,0.991,0.991,0,0
2006-08-14,0.987,0.987,0.987,0.987,0,0
2006-08-15,0.989,0.989,0.989,0.989,0,0
2006-08-16,0.992,0.992,0.992,0.992,0,0
2006-08-17,0.989,0.989,0.989,0.989,0,0
2006-08-18,0.989,0.989,0.989,0.989,0,0
2006-08-21,0.989,0.989,0.989,0.989,0,0
2006-08-22,0.992,0.992,0.992,0.992,0,0
2006-08-23,0.993,0.993,0.993,0.993,0,0
2006-08-24,0.994,0.994,0.994,0.994,0,0
2006-08-25,0.994,0.994,0.994,0.994,0,0
2006-08-28,0.999,0.999,0.999,0.999,0,0
2006-08-29,1.001,1.001,1.001,1.001,0,0
2006-08-30,1.001,1.001,1.001,1.001,0,0
2006-08-31,1.001,1.001,1.001,1.001,0,0
2006-09-01,0.998,0.998,0.998,0.998,0,0
2006-09-04,1.001,1.001,1.001,1.001,0,0
2006-09-05,1.002,1.002,1.002,1.002,0,0
2006-09-06,1.002,1.002,1.002,1.002,0,0
2006-09-07,0.999,0.999,0.999,0.999,0,0
2006-09-08,1,1,1,1,0,0
2006-09-11,1.001,1.001,1.001,1.001,0,0
2006-09-12,1.003,1.003,1.003,1.003,0,0
2006-09-13,1.004,1.004,1.004,1.004,0,0
2006-09-14,1.005,1.005,1.005,1.005,0,0
2006-09-15,1.01,1.01,1.01,1.01,0,0
2006-09-18,1.011,1.011,1.011,1.011,0,0
2006-09-19,1.014,1.014,1.014,1.014,0,0
2006-09-20,1.015,1.015,1.015,1.015,0,0
2006-09-21,1.018,1.018,1.018,1.018,0,0
2006-09-22,1.017,1.017,1.017,1.017,0,0
2006-09-25,1.015,1.015,1.015,1.015,0,0
2006-09-26,1.011,1.011,1.011,1.011,0,0
2006-09-27,1.014,1.014,1.014,1.014,0,0
2006-09-28,1.022,1.022,1.022,1.022,0,0
2006-09-29,1.027,1.027,1.027,1.027,0,0
2006-09-30,1.027,1.027,1.027,1.027,0,0
2006-10-09,1.038,1.038,1.038,1.038,0,0
2006-10-10,1.039,1.039,1.039,1.039,0,0
2006-10-11,1.037,1.037,1.037,1.037,0,0
2006-10-12,1.031,1.031,1.031,1.031,0,0
2006-10-13,1.032,1.032,1.032,1.032,0,0
2006-10-16,1.024,1.024,1.024,1.024,0,0
2006-10-17,1.022,1.022,1.022,1.022,0,0
2006-10-18,1.034,1.034,1.034,1.034,0,0
2006-10-19,1.036,1.036,1.036,1.036,0,0
2006-10-20,1.04,1.04,1.04,1.04,0,0
2006-10-23,1.029,1.029,1.029,1.029,0,0
2006-10-24,1.046,1.046,1.046,1.046,0,0
2006-10-25,1.056,1.056,1.056,1.056,0,0
2006-10-26,1.065,1.065,1.065,1.065,0,0
2006-10-27,1.055,1.055,1.055,1.055,0,0
2006-10-30,1.058,1.058,1.058,1.058,0,0
2006-10-31,1.072,1.072,1.072,1.072,0,0
2006-11-01,1.077,1.077,1.077,1.077,0,0
2006-11-02,1.072,1.072,1.072,1.072,0,0
2006-11-03,1.074,1.074,1.074,1.074,0,0
2006-11-06,1.095,1.095,1.095,1.095,0,0
2006-11-07,1.102,1.102,1.102,1.102,0,0
2006-11-08,1.089,1.089,1.089,1.089,0,0
2006-11-09,1.116,1.116,1.116,1.116,0,0
2006-11-10,1.113,1.113,1.113,1.113,0,0
2006-11-13,1.096,1.096,1.096,1.096,0,0
2006-11-14,1.106,1.106,1.106,1.106,0,0
2006-11-15,1.142,1.142,1.142,1.142,0,0
2006-11-16,1.148,1.148,1.148,1.148,0,0
2006-11-17,1.17,1.17,1.17,1.17,0,0
2006-11-20,1.203,1.203,1.203,1.203,0,0
2006-11-21,1.214,1.214,1.214,1.214,0,0
2006-11-22,1.22,1.22,1.22,1.22,0,0
2006-11-23,1.228,1.228,1.228,1.228,0,0
2006-11-24,1.223,1.223,1.223,1.223,0,0
2006-11-27,1.226,1.226,1.226,1.226,0,0
2006-11-28,1.222,1.222,1.222,1.222,0,0
2006-11-29,1.246,1.246,1.246,1.246,0,0
2006-11-30,1.291,1.291,1.291,1.291,0,0
2006-12-01,1.301,1.301,1.301,1.301,0,0
2006-12-04,1.337,1.337,1.337,1.337,0,0
2006-12-05,1.342,1.342,1.342,1.342,0,0
2006-12-06,1.326,1.326,1.326,1.326,0,0
2006-12-07,1.329,1.329,1.329,1.329,0,0
2006-12-08,1.292,1.292,1.292,1.292,0,0
2006-12-11,1.349,1.349,1.349,1.349,0,0
2006-12-12,1.368,1.368,1.368,1.368,0,0
2006-12-13,1.372,1.372,1.372,1.372,0,0
2006-12-14,1.39,1.39,1.39,1.39,0,0
2006-12-15,1.425,1.425,1.425,1.425,0,0
2006-12-18,1.472,1.472,1.472,1.472,0,0
2006-12-19,1.461,1.461,1.461,1.461,0,0
2006-12-20,1.463,1.463,1.463,1.463,0,0
2006-12-21,1.437,1.437,1.437,1.437,0,0
2006-12-22,1.43,1.43,1.43,1.43,0,0
2006-12-25,1.468,1.468,1.468,1.468,0,0
2006-12-26,1.477,1.477,1.477,1.477,0,0
2006-12-27,1.517,1.517,1.517,1.517,0,0
2006-12-28,1.521,1.521,1.521,1.521,0,0
2006-12-29,1.567,1.567,1.567,1.567,0,0
2006-12-31,1.567,1.567,1.567,1.567,0,0
2007-01-04,1.581,1.581,1.581,1.581,0,0
2007-01-05,1.556,1.556,1.556,1.556,0,0
2007-01-08,1.589,1.589,1.589,1.589,0,0
2007-01-09,1.666,1.666,1.666,1.666,0,0
2007-01-10,1.705,1.705,1.705,1.705,0,0
2007-01-11,1.68,1.68,1.68,1.68,0,0
2007-01-12,1.667,1.667,1.667,1.667,0,0
2007-01-15,1.748,1.748,1.748,1.748,0,0
