"","ALPHA","BETA","SHARPRATIO","MAXDREWDOWN","PRICELIMIT"
"040008",0.00111432214887139,1.20394527546196,0.149649430903124,0.0751184533838579,0.0896395102978411
"070032",0.000901870058746171,1.47782078878507,0.0933100343546007,0.100903980399517,0.0854002564572267
"110022",0.00123234949208651,1.31727010075121,0.0684056952216894,0.0945313910919191,0.0986903648269412
"260108",0.00164879444159374,1.36405687480449,0.110453823066928,0.0985795375111229,0.122080359237291
"340007",-0.000219086759125714,1.63419567990625,0.0649389136856964,0.110994387704988,0.0322488584474886
